datetime,storage,elevation,outflow,inflow,precip,evap,tocs
10/01/00,659.258,435.01,1849,1107,0,9,
10/02/00,658.149,434.89,1991,1432,0,0,
10/03/00,656.208,434.68,2327,1357,0,9,
10/04/00,653.436,434.38,2020,631,0,9,
10/05/00,651.034,434.12,2110,908,0,9,
10/06/00,650.295,434.04,1871,1507,0,9,
10/07/00,647.632,433.75,2046,712,0,9,
10/08/00,644.331,433.39,2241,586,0,9,
10/09/00,641.671,433.1,1886,554,0,9,
10/10/00,639.024,432.81,1908,582,0.38,9,
10/11/00,637.204,432.61,1962,1053,0.15,9,
10/12/00,635.11,432.38,1692,645,0.15,9,
10/13/00,632.743,432.12,1705,521,0,9,
10/14/00,628.85,431.69,2642,688,0,9,
10/15/00,625.055,431.27,2382,478,0,9,
10/16/00,620.464,430.76,2444,129,0,0,
10/17/00,616.071,430.27,2479,273,0,9,
10/18/00,612.049,429.82,2190,171,0,9,830.1
10/19/00,608.401,429.41,2149,319,0,9,821.9
10/20/00,603.96,428.91,2410,180,0,9,813.7
10/21/00,599.46,428.4,2623,363,0,9,805.6
10/22/00,594.705,427.86,2276,0,0,9,797.4
10/23/00,590.504,427.38,2447,118,0,9,789.2
10/24/00,587.005,426.98,2428,673,0,9,781.1
10/25/00,584.749,426.72,2290,1159,0,6,781.1
10/26/00,582.666,426.48,2651,1607,0.23,6,764.8
10/27/00,580.843,426.27,2258,1339,0.48,0,756.6
10/28/00,580.236,426.2,2272,1975,0,9,748.4
10/29/00,581.104,426.3,1978,2416,1.49,0,740.3
10/30/00,580.757,426.26,2273,2098,0.36,0,732.1
10/31/00,579.541,426.12,2679,2066,0.01,0,723.9
11/01/00,577.898,425.93,2184,1356,0,0,723.9
11/02/00,577.553,425.89,2094,1934,0,14,715.8
11/03/00,577.295,425.86,1925,1795,0,0,699.4
11/04/00,576.434,425.76,1855,1435,0,14,691.3
11/05/00,574.799,425.57,1682,872,0,14,683.1
11/06/00,573.508,425.42,1822,1185,0,14,675
11/07/00,573.508,425.42,1794,1808,0,14,666.8
11/08/00,572.475,425.3,1926,1419,0,14,658.6
11/09/00,572.303,425.28,1929,1856,0,14,650.5
11/10/00,572.131,425.26,1957,1884,0,14,642.3
11/11/00,572.819,425.34,1980,2341,0,14,634.1
11/12/00,571.442,425.18,1993,1313,0,14,626
